年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數
2013/10/31,3576,新日光          ,13253000,2423567,1095000,0,1969000,1627000,12266433
2013/10/31,2886,兆豐金          ,16648000,5476514,863000,174000,76000,1007000,10929486
2013/10/31,3682,亞太電          ,5104000,634000,972000,0,3875000,380000,8937000
2013/10/31,2887,台新金          ,12353983,4015967,0,0,3000,402000,7939016
2013/10/31,3045,台灣大          ,10586000,3479300,3000,0,21000,80000,7050700
2013/10/31,2412,中華電          ,10186000,2880400,1000,6000,108000,453000,6955600
2013/10/31,9136,巨騰            ,4704000,15000,0,0,695000,5000,5379000
2013/10/31,3474,華亞科          ,6887000,859000,0,0,500000,1275000,5253000
2013/10/31,5880,合庫金          ,7753000,3068802,0,0,250000,35000,4899198
2013/10/31,3022,威強電          ,186000,28000,0,0,4674000,0,4832000
2013/10/31,3481,群創            ,20935000,13502924,0,2063000,250000,943000,4676076
2013/10/31,2885,元大金          ,10393000,6432738,0,0,11000,43000,3928262
2013/10/31,2881,富邦金          ,9047000,4702494,0,106000,466000,1005000,3699506
2013/10/31,2454,聯發科          ,5200300,2184734,39000,500,520000,113000,3461066
2013/10/31,2892,第一金          ,6397000,3119660,0,4000,70000,122000,3221340
2013/10/31,4915,致伸            ,2469000,10000,1196000,0,98000,550000,3203000
2013/10/31,1314,中石化          ,5489825,2295062,0,12000,228000,398000,3012763
2013/10/31,2312,金寶            ,919000,1217000,1959000,124000,2770000,1311000,2996000
2013/10/31,1102,亞泥            ,6065000,2329032,7000,850000,30000,22000,2900968
2013/10/31,1326,台化            ,4140000,1369610,212000,33000,42000,128000,2863390
2013/10/31,2382,廣達            ,7962000,5168253,0,95000,249000,142000,2805747
2013/10/31,3231,緯創            ,5068000,2868175,0,33000,523000,41000,2648825
2013/10/31,2377,微星            ,2444000,129000,0,0,82000,14000,2383000
2013/10/31,2883,開發金          ,13074000,11262431,866000,3000,626000,941000,2359569
2013/10/31,2891,中信金          ,12542700,9282736,192000,895000,164000,480000,2240964
2013/10/31,1477,聚陽            ,2691000,740060,24000,0,312000,103000,2183940
2013/10/31,2834,臺企銀          ,4605720,2358688,0,0,0,154000,2093032
2013/10/31,2903,遠百            ,3897230,1888766,0,1000,51000,65000,1993464
2013/10/31,2330,台積電          ,20307411,18565056,176000,3000,204000,308000,1811355
2013/10/31,8039,台虹            ,1864000,236000,437000,170000,36000,132000,1799000
2013/10/31,3034,聯詠            ,3925000,1402000,60000,778000,100000,211000,1694000
2013/10/31,1402,遠東新          ,4474000,2848902,0,0,30000,0,1655098
2013/10/31,1216,統一            ,4596000,2802984,0,14000,44000,195000,1628016
2013/10/31,2610,華航            ,4585000,1448873,0,1479000,0,57000,1600127
2013/10/31,4904,遠傳            ,9202500,7699000,8000,0,455000,395000,1571500
2013/10/31,1101,台泥            ,4182000,2690830,102000,215000,220000,30000,1568170
2013/10/31,2913,農林            ,1957000,171218,0,0,660000,903000,1542782
2013/10/31,2449,京元電          ,3362000,2215000,421000,0,75000,104000,1539000
2013/10/31,3494,誠研            ,708000,38000,150000,0,700000,0,1520000
2013/10/31,6239,力成            ,2323000,716600,0,3000,60000,157000,1506400
2013/10/31,1303,南亞            ,3293000,1678273,0,108040,30000,33000,1503687
2013/10/31,1605,華新            ,2855000,1274000,0,1000,228000,318000,1490000
2013/10/31,2618,長榮航          ,2535000,1046100,0,5000,35000,82000,1436900
2013/10/31,2376,技嘉            ,1409000,40000,0,1000,0,28000,1340000
2013/10/31,2325,矽品            ,5518000,5201000,900000,2000,467000,345000,1337000
2013/10/31,2880,華南金          ,3726000,2427587,0,0,7000,22000,1283413
2013/10/31,006204,豐臺灣          ,0,25000,0,0,1377000,70712,1281288
2013/10/31,2352,佳世達          ,1936000,670000,0,0,0,0,1266000
2013/10/31,2393,億光            ,206000,892953,1633000,0,548000,250000,1244047
2013/10/31,9904,寶成            ,3886000,3085923,650000,2000,179000,504000,1123077
2013/10/31,2344,華邦電          ,275000,662000,0,481000,1983000,0,1115000
2013/10/31,1301,台塑            ,3201000,2113612,0,0,6000,23000,1070388
2013/10/31,2332,友訊            ,1032000,4000,4000,0,0,10000,1022000
2013/10/31,1513,中興電          ,2586000,1734000,188000,100000,0,0,940000
2013/10/31,2371,大同            ,966000,1000,0,0,0,45000,920000
2013/10/31,1312,國喬            ,1864000,1058000,0,101000,280000,129000,856000
2013/10/31,3514,昱晶            ,1105000,262301,1000,0,204000,230000,817699
2013/10/31,2823,中壽            ,2063726,1252409,0,3000,311000,319000,800317
2013/10/31,9921,巨大            ,1339000,530043,0,30000,0,0,778957
2013/10/31,1560,中砂            ,146000,128000,738000,30000,62000,21000,767000
2013/10/31,910322,康師傅          ,704000,0,0,0,0,0,704000
