年月日,證券代號,證券名稱,外資買進股數,外資賣出股數,投信買進股數,投信賣出股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),三大法人買賣超股數,自營商買進股數,自營商賣出股數
2015/08/12,3474,華亞科          ,17209000,6059000,54000,2000,180000,317000,7273000,3358000,14980000,1800007273000,3170003358000
2015/08/12,00637L,滬深2X          ,130000,130000,0,0,90000,0,32881000,21931000,11040000,9000032881000,021931000
2015/08/12,2412,中華電          ,10230390,2215000,256000,2000,117000,2000,147000,3000,8528390,117000147000,20003000
2015/08/12,1216,統一            ,12156000,5610553,2257000,0,81000,749000,303000,858000,7579447,81000303000,749000858000
2015/08/12,2409,友達            ,17407000,19006000,191000,0,7054000,0,1005000,408000,6243000,70540001005000,0408000
2015/08/12,2888,新光金          ,23253173,16464000,1000,0,67000,160000,247000,881000,6063173,67000247000,160000881000
2015/08/12,2303,聯電            ,20749000,17335000,260000,0,131000,0,2246000,139000,5912000,1310002246000,0139000
2015/08/12,2357,華碩            ,3927000,1552300,143000,88000,40000,91000,204000,81000,2501700,40000204000,9100081000
2015/08/12,1729,必翔            ,2390000,70000,0,0,8000,3000,79000,50000,2354000,800079000,300050000
2015/08/12,9904,寶成            ,4360000,1829000,241000,681000,84000,332000,740000,268000,2315000,84000740000,332000268000
2015/08/12,2833,台壽保          ,3017000,865000,0,0,45000,53000,12000,125000,2031000,4500012000,53000125000
2015/08/12,1326,台化            ,2961000,1115000,175000,450000,326000,51000,44000,10000,1880000,32600044000,5100010000
2015/08/12,00632R,T50反1          ,0,0,0,40000,340000,304000,4727000,2930000,1793000,3400004727000,3040002930000
2015/08/12,006206,元上證          ,0,0,150000,0,315000,22000,6453000,5142000,1754000,3150006453000,220005142000
2015/08/12,2847,大眾銀          ,1149000,473150,0,0,1104000,0,26000,147000,1658850,110400026000,0147000
2015/08/12,2356,英業達          ,2284000,1082000,51000,0,86000,0,277000,71000,1545000,86000277000,071000
2015/08/12,2108,南帝            ,1474000,35000,0,0,18000,7000,113000,63000,1500000,18000113000,700063000
2015/08/12,6505,台塑化          ,3558505,2508000,70000,0,379000,14000,14000,0,1499505,37900014000,140000
2015/08/12,4904,遠傳            ,2904000,1586000,34000,50000,80000,2000,81000,2000,1459000,8000081000,20002000
2015/08/12,2379,瑞昱            ,1713000,722000,191000,0,11000,22000,67000,77000,1161000,1100067000,2200077000
2015/08/12,2867,三商壽          ,1258000,187000,0,0,222000,94000,13000,74000,1138000,22200013000,9400074000
2015/08/12,2353,宏??            ,1829000,859000,2000,0,91000,0,77000,8000,1132000,9100077000,08000
2015/08/12,1314,中石化          ,1644000,862000,0,0,18000,2000,279000,20000,1057000,18000279000,200020000
2015/08/12,2106,建大            ,410000,936000,0,0,1596000,25174,0,0,1044826,15960000,251740
2015/08/12,2618,長榮航          ,2853000,2344000,109000,0,277000,300000,1766000,1331000,1030000,2770001766000,3000001331000
2015/08/12,2376,技嘉            ,977000,108000,0,1000,66000,2000,110000,12000,1030000,66000110000,200012000
2015/08/12,2408,南亞科          ,1324000,880400,8000,1000,90000,30000,631000,152000,989600,90000631000,30000152000
2015/08/12,2615,萬海            ,1421000,469000,0,0,87000,2000,35000,97000,975000,8700035000,200097000
2015/08/12,2352,佳世達          ,1203000,342000,3000,0,76000,7000,29000,3000,959000,7600029000,70003000
2015/08/12,2382,廣達            ,3437000,2226728,57000,339000,76000,52000,108000,110000,950272,76000108000,52000110000
2015/08/12,3702,大聯大          ,2150000,1413000,0,0,54000,8000,96000,0,879000,5400096000,80000
2015/08/12,2383,台光電          ,1543000,514000,0,174000,356000,155000,227000,405000,878000,356000227000,155000405000
2015/08/12,9938,百和            ,1454000,534000,73000,6000,81000,122000,66000,144000,868000,8100066000,122000144000
2015/08/12,2311,日月光          ,19387159,19086806,133000,107000,122000,201000,1436000,827000,856353,1220001436000,201000827000
2015/08/12,1536,和大            ,932000,310000,230000,0,86000,111000,148000,126000,849000,86000148000,111000126000
2015/08/12,1402,遠東新          ,2623000,2582000,656000,66000,193000,41000,50000,0,833000,19300050000,410000
2015/08/12,2903,遠百            ,1644000,1008000,0,0,92000,49000,161000,14000,826000,92000161000,4900014000
2015/08/12,4938,和碩            ,3874000,3282075,208000,0,7000,159000,499000,359000,787925,7000499000,159000359000
2015/08/12,3665,F-貿聯          ,764000,140000,225000,180000,4000,0,112000,14000,771000,4000112000,014000
2015/08/12,3006,晶豪科          ,950000,213000,2000,0,12000,5000,58000,41000,763000,1200058000,500041000
2015/08/12,5388,中磊            ,994000,285000,370000,346000,386000,591000,399000,179000,748000,386000399000,591000179000
2015/08/12,1303,南亞            ,3708000,2734426,377000,770000,201000,101000,104000,43000,741574,201000104000,10100043000
2015/08/12,2492,華新科          ,315000,283000,0,2000,133000,6000,727000,185000,699000,133000727000,6000185000
2015/08/12,4915,致伸            ,1186000,645000,0,0,49000,0,170000,72000,688000,49000170000,072000
2015/08/12,00633L,上証2X          ,1000,501000,0,0,77000,32000,14592000,13513000,624000,7700014592000,3200013513000
2015/08/12,2542,興富發          ,1335000,708000,0,0,11000,17000,31000,33000,619000,1100031000,1700033000
2015/08/12,2488,漢平            ,198000,50000,449000,0,49000,41000,0,0,605000,490000,410000
2015/08/12,006207,FH滬深          ,0,0,0,750000,508000,30000,2274000,1399000,603000,5080002274000,300001399000
2015/08/12,2355,敬鵬            ,231000,210000,396000,0,148000,15000,66000,44000,572000,14800066000,1500044000
2015/08/12,00639,深100           ,0,0,0,0,0,0,2348000,1778000,570000,02348000,01778000
2015/08/12,2498,宏達電          ,1987000,1579045,16000,0,47000,101000,282000,82000,569955,47000282000,10100082000
2015/08/12,1477,聚陽            ,267242,88000,218000,0,33000,24000,160000,44000,522242,33000160000,2400044000
2015/08/12,1102,亞泥            ,2629000,2337000,50000,0,95000,2470,81000,0,515530,9500081000,24700
2015/08/12,6153,嘉聯益          ,483000,52000,0,7000,15000,21000,195000,102000,511000,15000195000,21000102000
2015/08/12,3005,神基            ,537000,179000,1000,0,55000,3000,377000,282000,506000,55000377000,3000282000
2015/08/12,6257,矽格            ,284000,71000,1000,0,8000,0,268000,0,490000,8000268000,00
2015/08/12,9924,福興            ,67000,92000,388000,0,130000,3000,0,0,490000,1300000,30000
